date,Open,High,Low,Close,Volume,seconds
2024-02-24 22:30:00,51137.49000000,51161.10000000,51091.10000000,51100.00000000,151.84853000,1708785000
2024-02-24 22:45:00,51100.00000000,51139.75000000,51072.65000000,51139.30000000,97.61855000,1708785900
2024-02-24 23:00:00,51139.31000000,51150.04000000,51127.94000000,51150.03000000,125.91908000,1708786800
2024-02-24 23:15:00,51150.04000000,51150.04000000,51124.98000000,51129.19000000,128.12345000,1708787700
2024-02-24 23:30:00,51129.19000000,51140.02000000,51100.00000000,51139.99000000,85.75743000,1708788600
2024-02-24 23:45:00,51140.00000000,51142.77000000,51099.34000000,51099.34000000,102.24815000,1708789500
2024-02-25 00:00:00,51099.35000000,51166.00000000,51094.99000000,51154.20000000,162.38434000,1708790400
2024-02-25 00:15:00,51154.19000000,51168.00000000,51123.98000000,51155.45000000,114.59120000,1708791300
2024-02-25 00:30:00,51155.45000000,51200.00000000,51150.15000000,51176.86000000,126.09491000,1708792200
2024-02-25 00:45:00,51176.87000000,51215.04000000,51166.18000000,51215.04000000,140.05742000,1708793100
2024-02-25 01:00:00,51215.03000000,51292.65000000,51215.03000000,51291.09000000,242.75751000,1708794000
2024-02-25 01:15:00,51291.10000000,51369.56000000,51271.68000000,51319.67000000,257.33181000,1708794900
2024-02-25 01:30:00,51319.67000000,51607.40000000,51319.66000000,51558.92000000,869.15440000,1708795800
2024-02-25 01:45:00,51558.93000000,51698.00000000,51460.00000000,51533.99000000,745.19520000,1708796700
2024-02-25 02:00:00,51533.99000000,51690.00000000,51530.00000000,51661.11000000,411.63068000,1708797600
2024-02-25 02:15:00,51661.10000000,51694.16000000,51566.13000000,51621.10000000,238.56825000,1708798500
2024-02-25 02:30:00,51621.11000000,51621.11000000,51509.54000000,51562.79000000,316.36401000,1708799400
2024-02-25 02:45:00,51562.80000000,51571.65000000,51407.07000000,51434.96000000,365.09068000,1708800300
2024-02-25 03:00:00,51434.97000000,51526.52000000,51434.96000000,51507.43000000,193.84768000,1708801200
2024-02-25 03:15:00,51507.43000000,51531.91000000,51480.00000000,51509.02000000,125.90975000,1708802100
2024-02-25 03:30:00,51509.02000000,51617.85000000,51483.98000000,51585.00000000,189.39400000,1708803000
2024-02-25 03:45:00,51585.00000000,51638.92000000,51557.07000000,51557.07000000,136.01468000,1708803900
2024-02-25 04:00:00,51557.08000000,51585.94000000,51437.84000000,51483.15000000,220.66532000,1708804800
